node_loss: 0.013907143846154213, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.8085
node_loss: 0.013749992474913597, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8150
node_loss: 0.013415653258562088, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8117
node_loss: 0.014228173531591892, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8112
node_loss: 0.01296390499919653, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8194
node_loss: 0.0140228271484375, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8075
node_loss: 0.012882928363978863, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8218
node_loss: 0.012694137170910835, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8249
node_loss: 0.012743787840008736, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8236
node_loss: 0.012322361581027508, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.8300
node_loss: 0.013498183339834213, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8249
node_loss: 0.012775429524481297, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8290
node_loss: 0.012989404611289501, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8367
node_loss: 0.012519767507910728, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8335
node_loss: 0.01311357133090496, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8461
node_loss: 0.011243694461882114, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8441
node_loss: 0.01282241940498352, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8355
node_loss: 0.01232177671045065, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8358
Epoch 2/10, Train Loss: 4.5244, Train Cosine Similarity: 0.7302
Epoch 2/10, Validation Loss: 1.3990, Validation Cosine Similarity: 0.8415
node_loss: 0.014241345226764679, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.8357
node_loss: 0.0120443906635046, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8436
node_loss: 0.011568361893296242, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8480
node_loss: 0.011667910031974316, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8524
node_loss: 0.010893228463828564, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.8602
node_loss: 0.010201532393693924, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8631
node_loss: 0.011204090900719166, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8558
node_loss: 0.012228039093315601, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.8467
node_loss: 0.011220917105674744, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8671
node_loss: 0.01177193596959114, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8480
node_loss: 0.012094984762370586, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8536
node_loss: 0.012047318741679192, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8504
node_loss: 0.011466074734926224, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8592
node_loss: 0.011049625463783741, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8629
node_loss: 0.011048849672079086, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8513
node_loss: 0.011640310287475586, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8582
node_loss: 0.010910611599683762, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.8626
node_loss: 0.01345153246074915, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.8560
node_loss: 0.01311496738344431, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8515
node_loss: 0.010373268276453018, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.8639
